Altium Designer Pick and Place Locations
D:\GoogleDrive\VAX Museum\H7864\PCB Rev B\Project Outputs for H7864\Pick Place for H7864-B.txt

========================================================================================================================
File Design Information:

Date:       30/03/21
Time:       12:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                Layer    Footprint          Center-X(mil) Center-Y(mil) Rotation Description                                                                              
P8         Header                 TopLayer HDR_1x2_Offset     5280.000      5267.500      90       "Header, 2-pin"                                                                          
""         Comment                TopLayer CAPE5.0mm          6144.409      5144.016      270      ""                                                                                       
""         Comment                TopLayer CAPE5.0mm          6180.000      2408.425      270      ""                                                                                       
R19        CRCW080547K0FKEA       TopLayer 2012[0805]         5317.000      6012.000      180      Resistor                                                                                 
J14        1-640385-9             TopLayer MTA156-9           6500.000      3987.000      0        ""                                                                                       
P5         B8B-PHDSS(LF)(SN)      TopLayer B8B-PHDSS          5108.630      3041.630      0        ""                                                                                       
P3         B8B-PHDSS(LF)(SN)      TopLayer B8B-PHDSS          5122.370      5668.630      0        ""                                                                                       
U3         PIC12F675-I/P          TopLayer DIP8-300           5313.000      4660.000      270      "FLASH-Based 8-Bit CMOS Microcontroller, 10-Bit A/D, 8-Pin PDIP, Industrial Temperature" 
R10        CRCW080547K0FKEA       TopLayer 2012[0805]         4625.000      4257.000      270      Resistor                                                                                 
J19        "Remote On Off +"      TopLayer TP-THT-MULTI       5909.000      6368.000      180      Socket                                                                                   
C5         VJ0805Y103JXAPW1BC     TopLayer C0805-S            5566.000      4916.000      180      Capacitor                                                                                
J25        FAN-                   TopLayer TP-THT-MULTI       5258.000      1804.000      0        Socket                                                                                   
J24        FAN-                   TopLayer TP-THT-MULTI       5570.000      1804.000      0        Socket                                                                                   
J22        FAN+                   TopLayer TP-THT-MULTI       5102.000      1804.000      0        Socket                                                                                   
J20        FAN+                   TopLayer TP-THT-MULTI       5414.000      1804.000      0        Socket                                                                                   
J7         "Wire Solder"          TopLayer TP-THT-MULTI       6282.000      2017.000      0        Socket                                                                                   
J4         "Wire Solder"          TopLayer TP-THT-MULTI       6204.000      4685.000      0        Socket                                                                                   
J23        FAN-                   TopLayer TP-THT-MULTI       6084.000      1560.000      0        Socket                                                                                   
P4         Header                 TopLayer HDR_1x2_Offset     4567.000      3893.500      90       "Header, 2-pin"                                                                          
D5         ""                     TopLayer DO-204AL           5658.000      2223.000      270      "1 Amp General Purpose Rectifier"                                                        
J21        FAN+                   TopLayer TP-THT-MULTI       5928.000      1560.000      0        Socket                                                                                   
D2         ""                     TopLayer DO-204AL           5970.000      2223.000      270      "1 Amp General Purpose Rectifier"                                                        
D4         ""                     TopLayer DO-204AL           5814.000      2223.000      90       "1 Amp General Purpose Rectifier"                                                        
C4         ""                     TopLayer MKP-3381-15        3744.000      1560.000      180      Capacitor                                                                                
J12        "Wire Solder"          TopLayer TP-THT-MULTI       6282.000      1861.000      90       Socket                                                                                   
C1         10uF                   TopLayer CAPMP3216X180N     4602.000      4836.000      270      "Capacitor SMD Tantalum 68uF 10% 6.3V EIA 3216-18"                                       
D3         ""                     TopLayer DO-204AL           4020.000      2270.001      180      "1 Amp General Purpose Rectifier"                                                        
